unit_price;sum_fact;shop_id;sale_profit;cal_date;customer;title
11,79;11,79;7;2,9;12.08.2017;;Шапка тип 3 - Puma
17,71;17,71;7;7,6;12.08.2017;;Рубашка тип 10 - Puma
3,14;3,14;7;1,53;25.03.2017;;Мячик тип 2 - Adidas
14,2;14,18;7;8,23;25.03.2017;;Рубашка тип 10 - Nike
17,71;17,71;7;7,6;25.03.2017;;Рубашка тип 10 - Puma
16,74;16,75;7;8,95;25.03.2017;;Шлёпки тип 2 - Reebok
53,83;53,82;7;25,87;25.03.2017;;Кроссовки тип 5 - Adidas
22,26;22,25;7;10,9;11.08.2017;;Футболка тип 3 - Adidas
24,99;25;7;13,2;06.02.2017;;Рубашка тип 6 - Reebok
19,35;19,36;7;9,88;06.02.2017;;Кепка тип 2 - Nike
54,71;54,71;7;27,36;06.02.2017;;Штаны тип 6 - Adidas
8,13;8,14;7;4,16;06.02.2017;;Колготки тип 5 - Reebok
12,75;12,75;7;6,18;16.04.2017;;Колготки тип 3 - Reebok
8,5;8,5;7;3,71;16.04.2017;;Кепка тип 1 - Puma
15,68;15,68;7;5,01;16.04.2017;;Колготки тип 6 - Puma
14,31;14,32;7;4,74;16.04.2017;;Ремень тип 4 - Puma
24,99;25;7;13,2;16.04.2017;;Рубашка тип 6 - Reebok
10,58;10,57;7;4,22;16.04.2017;;Штаны тип 12 - Puma
27,43;27,43;7;14,18;16.04.2017;;Запонка тип 1 - Reebok
31,06;31,07;7;17,09;09.01.2017;;Футболка тип 7 - Nike
49,28;49,29;7;20,88;09.01.2017;;Рубашка тип 7 - Adidas
11,53;11,54;7;5,71;05.10.2017;;Шапка тип 5 - Adidas
24,12;24,11;7;10,48;17.05.2017;;Колготки тип 5 - Puma
8,36;8,36;7;3,36;17.05.2017;;Шапка тип 5 - Puma
14,01;14;7;6,3;17.05.2017;;Футболка тип 2 - Nike
66,11;66,11;7;35,07;17.05.2017;;Штаны тип 3 - Reebok
27,43;27,43;7;14,18;26.07.2017;;Запонка тип 1 - Reebok
125,07;125,07;7;64,36;26.07.2017;;Кроссовки тип 4 - Reebok
20,16;20,18;7;6,24;26.07.2017;;Запонка тип 3 - Puma
29,31;29,32;7;13,03;26.07.2017;;Рубашка тип 12 - Adidas
3,38;3,39;7;1,77;26.07.2017;;Мячик тип 2 - Adidas
21,9;21,89;7;8,61;26.07.2017;;Рубашка тип 3 - Adidas
167,98;167,96;7;86,59;26.07.2017;;Сапоги тип 6 - Nike
11,71;11,71;7;5,32;26.07.2017;;Футболка тип 6 - Adidas
18,56;18,57;7;8,2;09.10.2017;;Шапка тип 8 - Puma
15,48;15,46;7;8,16;15.06.2017;;Рубашка тип 10 - Adidas
16,43;16,43;7;8,6;15.06.2017;;Футболка тип 1 - Adidas
9,77;9,79;7;4,34;02.02.2017;;Рубашка тип 3 - Puma
77,53;77,54;7;38,18;27.02.2017;;Штаны тип 3 - Adidas
12,38;12,39;7;6,98;27.02.2017;;Колготки тип 7 - Nike
220,26;220,25;7;102,47;27.02.2017;;Туфли тип 4 - Reebok
90,93;90,93;7;47,21;27.02.2017;;Кроссовки тип 6 - Adidas
31,75;31,75;7;12,39;27.02.2017;;Рубашка тип 4 - Puma
13,81;13,82;7;5,35;27.02.2017;;Шапка тип 7 - Puma
48,22;48,21;7;18,93;04.03.2017;;Рубашка тип 7 - Nike
16,43;16,43;7;8,6;04.03.2017;;Футболка тип 1 - Adidas
69,69;69,68;7;40,26;02.01.2017;;Рубашка тип 2 - Nike
50,93;50,93;7;21,86;09.02.2017;;Рубашка тип 1 - Puma
22,26;22,25;7;10,9;09.02.2017;;Футболка тип 3 - Adidas
90,93;90,93;7;47,21;09.02.2017;;Кроссовки тип 6 - Adidas
62,04;62,04;7;32,72;09.02.2017;;Рубашка тип 3 - Nike
13,03;13,04;7;7,64;09.02.2017;;Колготки тип 7 - Nike
27,13;27,14;7;9,92;03.12.2017;;Штаны тип 8 - Puma
238,79;238,79;7;117,58;03.12.2017;;Сапоги тип 3 - Reebok
10,58;10,57;7;4,12;03.12.2017;;Шлёпки тип 2 - Puma
28,21;28,21;7;14,18;03.12.2017;;Колготки тип 4 - Reebok
242,27;242,25;7;124,09;03.12.2017;;Сапоги тип 2 - Adidas
120,13;120,14;7;57,23;23.11.2017;;Туфли тип 2 - Adidas
16,15;16,14;7;9,36;28.10.2017;;Футболка тип 1 - Nike
8,08;8,07;7;4,08;28.10.2017;;Шапка тип 5 - Reebok
22,29;22,29;7;9,94;01.04.2017;;Футболка тип 6 - Nike
90,9;90,89;7;45,11;14.08.2017;;Кроссовки тип 3 - Nike
13,23;13,21;7;5,77;17.01.2017;;Ремень тип 2 - Reebok
55,89;55,89;7;26,32;17.01.2017;;Штаны тип 1 - Adidas
17,7;17,71;7;7,63;17.01.2017;;Шапка тип 8 - Nike
19,52;19,5;7;11,02;08.07.2017;;Шапка тип 2 - Nike
15,3;15,29;7;7,98;08.07.2017;;Штаны тип 9 - Adidas
19,37;19,36;7;5,47;08.07.2017;;Футболка тип 3 - Puma
60,74;60,75;7;30,85;05.09.2017;;Рубашка тип 1 - Nike
14,74;14,75;7;5,53;05.09.2017;;Штаны тип 3 - Puma
15,93;15,93;7;7,93;31.08.2017;;Кепка тип 1 - Nike
26,7;26,71;7;13,42;31.08.2017;;Рубашка тип 3 - Adidas
12,27;12,25;7;6,48;21.07.2017;;Штаны тип 10 - Reebok
72,44;72,43;7;39,87;21.07.2017;;Штаны тип 5 - Nike
14;14;7;7,03;21.07.2017;;Шлёпки тип 1 - Adidas
11,06;11,07;7;5,42;21.07.2017;;Футболка тип 1 - Reebok
28,14;28,14;7;10,47;04.12.2017;;Запонка тип 4 - Puma
20,5;20,5;7;10,07;27.04.2017;;Кепка тип 2 - Adidas
17,71;17,71;7;7,6;02.03.2017;;Рубашка тип 10 - Puma
2,84;2,82;7;1,23;02.03.2017;;Мячик тип 2 - Adidas
87,12;87,11;7;43,12;02.03.2017;;Штаны тип 8 - Reebok
10,61;10,61;7;4,61;01.10.2017;;Колготки тип 4 - Puma
15,96;15,96;7;8,64;01.10.2017;;Рубашка тип 10 - Adidas
21,15;21,14;7;9,79;01.10.2017;;Футболка тип 3 - Adidas
68,82;68,82;7;24,93;23.06.2017;;Сапоги тип 2 - Puma
17,49;17,5;7;9,02;23.06.2017;;Шапка тип 6 - Nike
19,61;19,61;7;9,4;23.06.2017;;Футболка тип 7 - Reebok
18,81;18,82;7;9,45;23.06.2017;;Запонка тип 1 - Adidas
